"coupon_id","title","description","discount","minimum_cart","applicables","brands","users","payment","offer_tnc"
"100-4-176129","Beauty Delight : Upto 60% Off on Beauty Products","Charm like a princess with these beauty products that will add more colors to your beauty. shop now and get upto 60% off on the landing page products. No coupon code required, Click to get the offer page.",,,,,,,
"100-4-176723","Minimum 20% Off on CZ Jewellery","Shop for the CZ Jewellery here at Homeshop18 and get minimum 20% off on the landing page products. shop from the various products like Earrings, Necklaces, Chains, Bangles, Rings and many more. No coupon code required, Click to get the offer page.",,,,,,,
"100-4-176732","Upto 79% Off on Celebrity Collections","Shop from the cool collection of celebrity styles here at homeshop18 and get upto 79% off on the landing page products. Shop †from the various categories like Salwar suits, dresses, gowns and many more. No coupon code required, Click to get the offer page.",,,,,,,
"100-4-177356","Upto 64% Off On Frames","Shop for the Stylish Photo frames to cherish your fond memories. Shop and get upto 64% off on the landing page products. No coupon code required, Click to get the offer page.",,,,,,,
"100-4-178480","Minimum 20% Off on Necklace Sets","Make your fashion Statement with these unique set of Designer jewellery available at Homeshop18. Shop now and get Minimum 20% Off the landing page products like Necklaces, Chains and many more. †No coupon code required. Click to get the offer page.",,,,,,,
"100-4-180499","Minimum 69% Off on Men&#8217;s Ethnic Wear","Shop for Kurtas & Pyjamas @ Homeshop18 & get minimum 69% discount. No coupon code is required.",,,,,,,
"100-4-180500","Upto 70% Off on Casual Polo T-Shirts","Shop and get†Upto 70% Off on Casual Polo T-Shirts for men s @ Homeshop18. This offer valid on landing page products only. No coupon code required.",,,,,,,
"100-4-181369","Upto 70% Off on Cookware & Serveware","Upto 70% Off on†wide range of Pressure Cookers, Microwave Cookware, Frying Pans, Ladles, Kadhais, Pans and much more. No coupon code required.",,,,,,,
"100-4-181643","Upto 26% Off on Cleansers & Toners","HomeShop18 s beauty store comprises Cleansers and Toners suited for all types of skin. The products are carefully sorted according to skin type and brands. Since, skin care is a tender spot,make sure that you only use products from well-renowned brands like Neutrogena, OxyGlow, Biotique, Jovees and many more.",,,,,,,
"100-4-182057","Upto 65% Off on Smartphones","Mobile Mania: Buy Smartphones Online for low prices in India @ Shopclues. Find popular Smartphones from Micromax,†Xolo, Spice, Celkon and more. Shop now and get 65% Off and get freebies †on every purchase.",,,,,,,
"100-4-182584","Upto 59% Off On Weighing Scales","Digital weighing machines are more precise when it comes to the outcome and never vary such as the manual kinds.†Buy digital weighing scale from Homeshop18††and grab some super awesome deals. Pay the most slashed down prices to avail the best offers.",,,,,,,
"100-4-183623","Upto 48% Off On Onam Jewellery","Onam Special: Shop for pendants and get upto 48% off, No coupon code required, Click the link to get landing page,",,,,,,,
"100-4-185966","Upto 44% Off On Household Appliances","Shop & get upto 44% off on home & kitchen appliances like washing machines, refrigerators, ac s, mixer grinder etc. No need to use coupon code. Click to get the offer page.",,,,,,,
"100-4-186443","Upto 72% Off on Car Accessories","Reduce emissions and enhance your car s engine s life by installing Car Air Filters that are a vital inclusion to your list of car accessories. Shop and get upto 72% Off, No coupon code required.",,,,,,,
"100-4-188528","Upto 80% Off On Bangles","Shop and get upto 80% Off On Bangles, With an envious style and boatload of shine and glamour, †Pick from your favorite pieces, from embellished bangles, No coupon code required,",,,,,,,
"100-4-189544","Upto 70% Off on Electronics","Upto 70% Off on Electronics, choose from various categories like†Televisions,†Music Systems, Telephones, Gaming, Audio & Video Players,†TV Accessories,†Home Electronics and more.",,,,,,,
"100-4-190366","Upto 60% Off on Women&#8217;s Clothing By Triveni","Look extremely gorgeous when you adorn these elegant & mesmerizing Sarees and Salwar Suits, Shop now at Homeshop18 and get up to 60% discount, No coupon code required.",,,,,,,
"100-4-192526","Buy Earrings & Get Free Ring worth Rs. 299","Buy elegant mesmerizing Earrings & Get Free Ring worth Rs. 299, This offer valid on landing page products only, No coupon code required, click the link to get landing page.",,,,,,,
"100-4-192810","Upto 47% Off On Cleaning Mops","Find huge collection of exclusive†Cleaning Mops at homeshop18, Shop now and get upto 50% off, No need to use any coupon code, click the link to get landing page.",,,,,,,
"100-4-192814","Upto 64% Off on Salwar Suits","Shop for†Salwar Suits and get upto 64% off, This offer valid on landing page products, †No coupon code required, click the link to get landing page.",,,,,,,
"100-4-193260","Season Sale: Best Of The Best Deals On Displayed Products","Shop for clothing, footwear, luggage bags, watches and more. no coupon code required,this offer valid on landing page products, click the link to get offer page.",,,,,,,
"100-4-194434","Minimum 50% Off on Wedding Jewellery","Shop for Traditional Design Wedding Sets and get minimum 50% off, No coupon code required. Click the link to get landing page.",,,,,,,
"100-4-194441","Upto 53% Off on Micromax GSM Mobiles","Shop for† Micromax GSM Mobiles and get upto 53% off, This offer valid on landing page products, No coupon code required. Click the link to get landing page.",,,,,,,
"100-4-196310","Super Deals: Great Discounts on listing page Products","HomeShop18 s SuperDeals is a simple enough deal, and all you need to remember is that the clock is slowly ticking on your favourite product. We ve launched free shipping",,,,,,,
"100-4-196327","Get Pendant Set Free Worth Rs.599 on Vendee Jewellery","Buy Vendee Jewellery & Get Pendant Set Free Worth Rs.599,†Pick from your favorite pieces, from embellished earrings to pretty pendants, statement rings and necklaces. No coupon code required.",,,,,,,
"100-4-197597","Diwali Mela: Buy & Get Chance To Win Bumper Prizes","Diwali Mela: Shop at Homeshop18 & get a chance to win LED TV Every Hour and 1 Toyota Innova. No coupon code required, Click the link to get landing page.",,,,,,,
"100-4-199251","Navratri Special: Upto 50% Off on Casual Shoes","Navratri Special: Upto 50% Off on Casual Shoes for men s, This offer valid on landing page products, Click the link to get landing page. No coupon code required.",,,,,,,
"100-4-93452","Upto 80% Off on Men&#8217;s Clothing","Upto 80% Off on Men s Clothing Choose from various†Categories like Jeans, T-Shirts, Winter Wear etc. No need to use the coupon code. Click to get the offer page",,,,,,,
"100-4-93463","Upto 84% Off on Women&#8217;s Clothing","Shop from the various†Categories like Sarees, Salwar Suits many more from the women s Category. Shop now and get upto 84% off on landing page products. No need to use the coupon code. Click to get the offer page.",,,,,,,
"10276-3-1009","The Late Night Show Sale : Extra 20% OFF (9 PM - 9 AM)","Trendin midnight hour sale offer , get Extra 20% off. Select from 1800+ products. Applicable on orders of Rs 1699 & above only. Offer starts from today 9 pm to tomorrow till 9 am. Use the above Code at cart page to get discount. Hurry Up. Order now! ",,,,,,,
"10276-3-10960","ICICI Bank Offer : Extra 13% OFF On Rs 999","Buy anything from Trendin.com on orders of Rs 999 and above & get Extra 13% OFF by paying through ICICI debit and credit card, net banking. Apply Code at check out page and Avail the offer. ",,,,,,,
"10276-3-10961","HDFC Bank Offer : Extra 11% OFF On Orders Of Rs 999","Buy anything from Trendin.com above Rs. 999 or above and get Extra 11% OFF by paying through HDFC bank Cards. Apply Code at check out page and Avail the offer. ",,,,,,,
"10276-3-16095","SBI Bank Offer : Flat 13% OFF On Orders Of Rs 999 & Above","Trendin state bank of india offer, Buy anything on orders above Rs 999 and get flat 13% off on your purchase bag. Use the above Code at cart page to Avail the discount. ",,,,,,,
"10276-3-17129","Extra 5% OFF on all Products","Get extra 5% off on all products sitewide. Choose from various categories. Use the above Code at cart page to get the discount. ",,,,,,,
"10276-3-17473","Indusind Bank Offer : 10% OFF On Rs 1499","Trendin Indusind bank offer : Get flat 10% off on orders of Rs 1499 and above. Use the above discount code to get discount.",,,,,,,
"10276-3-17896","Yes Bank Offer : Flat 10% OFF On Orders Of Rs 999 & Above","Trendin yes bank offer: Get flat 10% off on orders of Rs 999 & above. Use the above Code at cart page to get the discount.",,,,,,,
"10276-3-3375","Flat 20% OFF Perfect Fit Clothing By Vanheusen","Get flat 20% off on perfect fitting clothing by van heusen . Available to both men & women. Limited time period offer. No Code needed. Order now! ",,,,,,,
"10276-3-4116","Flat 20% OFF Louis Philippe Apparels On Rs 10000+","Buy for Rs 10000 & above Louis philippe apparels and get 20% off on your cart value. Use the above Code at cart page to get the discount. Free Shipping available. Order now! ",,,,,,,
"10276-3-9907","Vanheusen Apparels: Buy 1@ 20%, Buy 2 @ 25% OFF","Buy Vanheusen Apparels from trendin and Avail the following offers, buy 1 @ 20% off, buy 2 @ 25% off. select from multiple categories. Available to both men & women. No Code needed at check out page to get the discount. ",,,,,,,
"10276-4-154011","Upto 50% off on Summer Casual&#8217;s","Smart Summer Casual sale from pantaloons - Shop from over 217†styles . Shop from the various categories like†T-Shirts,†Active Wear,†Ethnic Wear,†Shirts and†Shorts & many more. Click to get the offer page.",,,,,,,
"10276-4-155899","Flat 50% off on Clothing By People","Shop from the various categories like T-shirts, Shirts, trousers, Dresses, Women s Tees and many more and get flat 50% off on the landing page products. No coupon code required, Click to get the offer page.",,,,,,,
"10276-4-157513","Upto 50% Off On Men & Women Stripes Clothing","Have a casual business meeting? Don t worry, these collection of striped shirts made with pure cotton by Bare Leisure from Pantaloons is the right way to go stylish.†Shop for both men and women collection Get †upto 50% off †on the landing products. Click to get the landing page.",,,,,,,
"10276-4-160534","Upto 50% Off on Geometrical Prints Clothing","Get Up to 50% off on both men s and women s Geometric print Clothing of top brands like Van Heusen, Allen Solly, People and many more. No coupon code required, Click to get the offer page.",,,,,,,
"10276-4-168627","Upto 50% Off on Fashion Accessories","Shop and get Upto 50% Off on Fashion †Accessories for both Men & Women from the various top brands like Louis Phillip, Van Heusen, Solly Sport and many more. No coupon code required, click to get the offer page.",,,,,,,
"10276-4-168851","Flat 50% Off on University of Oxford","Introductory Offer on University of Oxford. Shop for the Men s clothing like Shirts and T-shirts from the house of University of Oxford and get 50% off on the landing page products. No coupon code required, Click to get the offer page.",,,,,,,
"10276-4-169101","Flat 50% Off on Exclusive Brands","Top Up Bonanza : Shop from over 1166 products at trendin and get flat 50% off on the landing page products. Shop from the Various top brands†like pantaloons, People and Peter England. Go grab this offer before it knocks out !!",,,,,,,
"10276-4-169111","Upto 50% Off on Women&#8217;s Wear","Women s Special : Shop from the brands like Allen solly and Van Heusen and get up to 50% off exclusively on women s category. Shop from over 334 products and from different categories like Tops, Tees, Dresses, Blouses and Shirts. No coupon code required to avail this offer. Click to get the landing page.",,,,,,,
"10276-4-171318","Upto 50% Off on Allen Solly","Allen Solly†Offer Zone - Get up to 50% off on the Allen Solly†products for both men and women at Trendin. Shop from the various categories like Clothing, Footwear and Accessories from over 623†products and styles. Shop now add new colors to your wardrobe. No Coupon code required, Click to get the offer page.",,,,,,,
"10276-4-174119","Shirts on Sale : Get Min 30% Off","The End of Season Sale : Shop for the shirts from the top brands like Louis Phillips, Van Heusen, Allen Solly, V Dot and many more and get upto 50% off on your favorites. No coupon code required, Click to get the offer page. Hurry Up !!",,,,,,,
"10276-4-174130","Min 40% Off on T-Shirts","Shop for the T-Shirts from the top brands like Louis Phillips, Van Heusen, Allen Solly, V Dot and many more and get upto 50% off on your favourites. No coupon code required, Click to get the offer page. Hurry Up !!",,,,,,,
"10276-4-174137","Upto 50% Off on Dresses","Shop for the dresses from the various top brands like Allen Solly, Pantaloons, Van Huesen and get upto 50% off on your favorites here at Trendin. This offer is for limited period only Hurry Up !! Click to get the offer page.",,,,,,,
"10276-4-174144","Fantastic Kids Zone : Upto 50% Off on kidswear","Discover the super cool trending styles for your kids this season. †Trendin is offering you with super cool discounts and Exciting offers. Shop and get upto 50% off on landing page products. This offer is for limited period. Click to get the offer page. Hurry Up !!",,,,,,,
"10276-4-174510","Upto 50% Off on Peter England Men&#8217;s Store","Trendin End of Season Sale : Shop for the men s clothing from the house of Peter England. Shop now and get upto 50% off on your orders at Trendin. No coupon code required, Click to get the offer page.",,,,,,,
"10276-4-176682","Flat 50% Off on Winter Wear","As the weather is getting cool its time to fill your wardrobe with these cool collection of winter. Shop now and get flat 50% off on both Men and Women collections. No coupon code required, Click to get the offer page.",,,,,,,
"10276-4-176936","Minimum 30% Off on Top Wear","Branded Top wear on sale : Shop for the top wear from the various top brands like Van Heusen, V Dot, Louis Phillipe, Allen solly and more. Shop now and get minimum 30% off on the landing page products. Click to get the offer page.",,,,,,,
"10276-4-178681","All Products Under Rs.399","This offer valid on landing †page products only,†Choose from Top Brands like LP jeans, V Dot, People, Van Hussen, Peter England and more.No coupon code required to active this offer.click here to get offer page.",,,,,,,
"10276-4-179289","Extra 15% Cashback on Mobikwik Wallets","Get extra 15% Cashback when you pay through Mobikwik Wallet. You can avail Maximum cashback Rs.150. Choose from your favourite categories like Clothing, Footwear, Accessories and more. No coupon code required.",,,,,,,
"10276-4-179848","Minimum 30% Off on Allen Solly & Van Heusen Collection","Shop and get Minimum 30% Off on Allen Solly & Van Heusen Products like †Handbags, Wallets, Dresses, Shoes, Jeans, Pants and more. No coupon code required.",,,,,,,
"10276-4-183408","Navaratri Sale : Upto 50% Off on Products","This †offer applicable on fashion accessories of men and women. categories like Men and women clothing s, Footwear, wallets and extra accessories are available at here. No promo code required to activate this offer.",,,,,,,
"10276-4-186099","Great Discounts on Men Clothing & Footwear","Trendin†offers the widest range of teacher s day gifts on occasion of teacher s day so that you can buy gifts for your favourite teacher, No coupon code required, Click the link to get landing page.",,,,,,,
"10276-4-186492","Upto 40% Off On Women Clothing","Celebrate This Auspicious Janmashtami festival with Trendin and get upto 40% off, choose from various categories like Shorts, Curtis, Dresses, Tops and more. No coupon code required.",,,,,,,
"10276-4-189213","Shubh Navratri Sale: Upto 50% Off On Clothing","Celebrate this Navratri with great offers on Great looking clothes for both Men and Women. Get upto 50% off on clothing, Choose from various categories like Shirts, T-Shirts, Trousers and more, No coupon code required. Click to get this offer page.",,,,,,,
"10276-4-190281","Desi Tadka : Upto 40% Off on Women&#8217;s Fashion Clothing","Shop and get upto 50% Off on Women s Fashion Clothing, Choose from various categories like Tops, Shorts, Dresses, Jeans and jeggings, Trousers and more. No coupon code required, Click the link to get landing page.",,,,,,,
"10276-4-190291","Upto 50% Off on Printed Clothing","Upto 50% Off on Printed Clothing, Choose from various categories like Dresses, Tops, T-Shirts, Jeans, Jeggings, Shorts and more. No coupon code required, Click the link to get landing page.",,,,,,,
"10276-4-191029","Ethnic Store Starts  at  Rs.320","Choosing ethnic apparel that suits your style is the key to looking your ethnic best. Choose from an attractive range of ethnic outfits in a number of patterns, colours,†Convention is the mother of style and this vast range of ethnic wear will leave you spoilt for choice.",,,,,,,
"10276-4-193365","Upto 70% Off on Clothing & Footwear","Shop and get Upto 70% Off on Clothing, Choose from various categories like Dresses, Tops, T-Shirts, Jeans, Jeggings, Shorts and more. No coupon code required, Click the link to get landing page.",,,,,,,
"10276-4-194486","Extra 25% Cashback on using Payumoney","Shop and get extra 25% Cashback on pay using Payumoney. maximum cashback of Rs.250, No coupon code required, click the link to get landing page.",,,,,,,
"10276-4-196808","Pantaloon Kids Wear Sale: Amazing Styles Below Rs.499","Fashion is our passion, so why should our little ones be any different? Set them on the path towards discovering their personal style with this edit of kidswear from our top brands. Your stylish darling will always be ready for adorable instagram pictures.",,,,,,,
"10276-4-198863","Pantaloons Offer : Flat 20% off on Apparels","Pantaloons Offer : Flat 20% off on Apparels for men & women like shirts, trousers, dresses, tees & tops, footwear, jeans, bottoms & leggings etc. No need to use any coupon codes. click to get the landing page.",,,,,,,
"10276-4-69579","Women Jeans & Jeggings Starts  at  Rs.780","Shop for the Jeans and Jeggings from the various top brands like PEOPLE, Allen Solly, Van Heusen and many more starting from just Rs.780. No need to use coupon code. Click to get the offer page.",,,,,,,
"10276-4-69582","Women Shorts & Capris Starts  at  Rs.400","Shop for the trendy and stylish Women Shorts and Capris here at trendin starting from just Rs.400. This offer is valid on top brands like Allen Solly & PEOPLE. No need to use coupon code. Click to get the offer page.",,,,,,,
"10293-3-11805","Flat Rs 100 OFF On Selected Painting T-shirts","Get flat Rs 100 off on selected tees in the listing page. Use the above Code at cart page to Avail the discount. Buy now!",,,,,,,
"10293-3-11833","3 T-shirts For Rs 999","Buy any 3 t-shirts for Rs 999 only. Valid on tees price more than Rs 449 only. Pay Online and get extra 15% Off. Valid on selected products only. ",,,,,,,
"10293-3-14879","Flat 35% OFF On Orders Of Rs 1250 & Above","Freecultr is Offering Site Wide Exclusive Deal as Get Extra 35% OFF on Purchase of Rs 1250 or More by Using the above given Code. Buy here for Handpicked T-Shirts, Photography T-Shirts, Trending T-Shirts and so on. ",,,,,,,
"10293-3-14881","Site Wide: Get Rs 500 OFF on Rs 1299 and above","Freecultr is Offering Flat Rs 500 OFF on Rs 1299 and above by Using the above code. Buy the latest fashion right from your home with Freecultr. They have clothing and Footwear from top fashion brands and style icons.Buy Now ",,,,,,,
"10293-3-158","Moonson Sale : Flat 50% OFF Everything","Buy and Get 50% discount on all orders at freecultr. Select from t-shirts , jackets, jeans, trousers and many more of men collections. Apply Coupon Code at check out page and get the discount. Applicable on listing page products only. ",,,,,,,
"10293-3-16589","Get T-Shirt For Rs 99 Only (New Users)","Get your first t-shirt For Rs 99 Only. Applicable for first time users only. Use above Code to Avail the discount. Code will give the max discount of Rs 300 on all t-shirts across freecultr. Applicable on prepaid orders only.Buy now! ",,,,,,,
"10293-3-18339","Flat Rs 100 OFF On Selected Retro Tees","verified now. Get Flat Rs 100 OFF on selected Retro catalogue tees. Use the above Code to get the discount. Applicable on selected tees in the listing page . Buy now! ",,,,,,,
"10293-3-3522","Extra 30% OFF On Orders Rs 1250 & Above","Get extra 30% discount on latest collection of fashion apparels showing up on the freecultr website. You can avail this rebate if your purchase worth of order Rs 1250 and above. Use Code to get the discount. ",,,,,,,
"10293-3-3523","Flat 20% OFF On Freecutlr Express Tees","Buy and get flat 20% off on freecultr express tees. No minimum purchase needed. Select from the largest and awesome collection of tees. Use the above Code at check out page to get the discount. ",,,,,,,
"10293-7-528428","Get Free Shipping On All Orders Above Rs.999","Place an order of Rs. 999 or more and get free shipping at Freecultr. Code Not Required.",,,,,,,
"10293-7-537117","Buy Bikers T -Shirts Starting at Rs.400","Buy and Avail bikers t-shirts starting @ Rs.400 at Freecultr. Code not required to Avail the offer. Hurry! offer valid up to the limited period only.",,,,,,,
"10293-7-537118","Buy Music T- Shirts Starting At Rs.400","Buy and Avail music t-shirts starting @ Rs.400 at Freecultr. Code not required to Avail the offer. Hurry! offer valid up to the limited period only.",,,,,,,
"10293-7-537119","Buy Nature T-Shirts Starting At Rs.400","Buy and Avail nature t-shirts starting @ Rs.400 at Freecultr. Code not required to Avail the offer. Hurry! offer valid up to the limited period only.",,,,,,,
"10293-7-537121","Buy Bee More T-Shirts Starting At Rs.400","Buy bee more t-shirt starting @ Rs.400 at Freecultr. Code not required to Avail the offer. Hurry! offer valid up to the limited period only.",,,,,,,
"10293-7-537124","Buy Graphics T-Shirts Starting At Rs.400","Buy and Avail graphics t-shirts starting @ Rs.400 at Freecultr. Code not required to Avail the offer. Hurry! offer valid up to the limited period only.",,,,,,,
"10293-7-537129","Buy Sport T-Shirts Starting At Rs.400","Buy and Avail sports t-shirts starting @ Rs.400 at Freecultr. Code not required to Avail the offer. Hurry! offer valid up to limited period only.",,,,,,,
"10293-7-538046","Buy T-Shirts Starting At Rs.299 Only","Buy t-shirts starting at Rs.299 at Freecultr. Code not required to Avail the offer. Hurry! offer valid for a limited period only. Offer valid on products displayed on the listing page.",,,,,,,
"10293-7-539235","Buy College Student T-Shirts Starting At Rs.549","Get college student t-shirts starting @ Rs.549 at Freecultr. Code not required to Avail the offer. Hurry! offer valid only for a limited period.",,,,,,,
